ArrivalTime	CPUBurstlength
10          22
68          12
98          34
148         28
192         3
223         8
266         18
268         14
268         30
296         10
354         6
375         2
377         31
406         10
457         21
469         1
529         9
559         12
581         39
630         17
685         38
696         30
744         21
745         34
782         29
804         4
817         15
864         24
912         27
953         21
993         24
1038        25
1086        17
1107        20
1122        7
1150        17
1160        20
1211        2
1269        23
1272        39
1315        28
1331        1
1337        29
1342        1
1365        22
1401        30
1413        5
1431        10
1440        37
1488        2
1523        20
1556        3
1576        12
1587        13
1596        5
1638        24
1689        13
1737        28
1761        32
1818        8
1827        25
1882        2
1899        29
1939        13
1940        18
1973        7
2022        36
2076        1
2093        33
2104        34
2147        20
2189        29
2248        26
2265        8
2300        36
2306        40
2357        18
2374        21
2433        30
2492        32
2502        4
2524        12
2561        11
2574        24
2605        32
2607        23
2658        32
2712        37
2745        38
2786        33
2826        1
2832        29
2854        39
2882        27
2899        25
2944        12
2976        33
2980        4
3007        23
3022        30
3060        34
3095        38
3103        40
3106        10
3164        35
3172        21
3185        31
3198        39
3255        21
3265        17
3312        18
3328        16
3360        33
3367        13
3395        38
3443        4
3467        3
3513        40
3565        10
3580        8
3629        15
3646        19
3702        37
3722        4
3766        27
3816        17
3858        8
3861        30
3893        32
3901        33
3924        39
3933        9
3950        29
3983        20
4034        19
4065        40
4081        26
4103        11
4133        21
4143        17
4200        24
4222        21
4233        31
4293        19
4321        33
4375        39
4412        7
4429        11
4482        14
4522        20
4575        32
4605        31
4623        30
4676        11
4719        38
4723        31
4761        25
4763        18
4821        34
4838        12
4888        3
4905        38
4939        38
4999        32
5041        28
5075        1
5135        40
5164        19
5190        35
5214        6
5219        27
5264        21
5274        35
5295        1
5329        30
5378        18
5412        9
5460        12
5473        4
5528        8
5582        14
5594        7
5652        15
5685        38
5685        23
5715        12
5760        7
5774        29
5813        38
5858        6
5917        38
5948        29
5970        3
5989        1
6024        22
6080        18
6098        22
6143        3
6195        23
6203        34
6203        22
6220        31
6246        33
6267        5
6283        15
6305        32
6311        31
6368        16
6369        23
6400        1
6446        40
6485        38
6508        31
6515        39
6533        35
6534        20
6551        30
6554        15
6570        10
6586        11
6627        23
6660        4
6699        7
6735        6
6792        31
6831        9
6852        29
6881        28
6934        39
6959        18
6981        25
7006        11
7024        28
7027        24
7072        35
7083        3
7100        2
7137        2
7158        26
7217        9
7224        2
7253        1
7286        25
7313        31
7364        14
7412        9
7433        8
7446        7
7446        16
7505        18
7507        18
7513        29
7573        14
7616        4
7665        31
7710        17
7712        25
7770        23
7777        24
7834        24
7837        11
7844        37
7874        23
7887        14
7893        5
7913        30
7946        35
7948        15
7953        19
7998        7
8056        9
8087        15
8094        27
8096        29
8124        31
8178        36
8217        21
8262        32
8274        39
8276        8
8276        23
8303        13
8361        21
8406        39
8423        20
8455        38
8492        6
8511        12
8533        20
8562        12
8562        32
8600        22
8650        10
8665        34
8708        33
8766        19
8797        7
8835        39
8866        29
8875        36
8934        14
8987        37
8988        13
9022        3
9036        28
9070        21
9120        4
9137        39
9178        12
9208        15
9268        11
9280        10
9288        23
9307        19
9309        28
9330        3
9388        36
9420        3
9444        1
9477        39
9496        4
9546        3
9591        10
9620        32
9679        23
9724        28
9748        24
9772        18
9792        38
9834        1
9882        24
9897        8
9925        19
9954        19
9960        40
9994        29
10007       7
10049       33
10089       10
10098       29
10104       10
10120       10
10126       13
10184       9
10226       29
10257       23
10294       29
10298       26
10318       23
10348       40
10391       23
10413       38
10446       13
10461       34
10516       13
10562       19
10579       20
10595       1
10599       25
10599       40
10638       5
10672       4
10701       30
10744       8
10744       17
10770       30
10810       14
10819       12
10823       24
10842       7
10855       15
10906       15
10956       7
11016       28
11022       20
11070       3
11121       15
11178       16
11220       30
11248       16
11303       13
11304       39
11329       37
11358       16
11370       11
11412       17
11431       1
11452       36
11456       22
11462       17
11465       32
11484       36
11488       29
11529       34
11585       39
11612       16
11654       13
11666       5
11696       34
11742       13
11742       37
11784       9
11834       22
11838       39
11887       25
11891       2
11915       23
11915       24
11949       36
11995       30
12015       31
12028       36
12071       28
12072       39
12098       10
12142       20
12157       21
12162       23
12213       33
12261       31
12265       34
12294       37
12352       18
12395       15
12451       29
12498       38
12507       26
12553       24
12590       14
12609       19
12665       22
12707       35
12730       35
12774       31
12806       11
12847       34
12885       2
12933       23
12992       19
13033       34
13047       23
13071       27
13130       3
13174       30
13187       35
13194       15
13197       32
13216       38
13233       30
13260       9
13265       28
13291       7
13346       39
13363       24
13385       15
13392       37
13447       12
13458       34
13500       35
13527       17
13571       9
13601       4
13637       20
13691       14
13719       7
13777       23
13836       5
13890       24
13939       18
13952       20
13964       4
14023       35
14057       28
14068       32
14110       17
14110       36
14138       39
14150       5
14155       12
14214       22
14240       34
14251       22
14282       6
14332       11
14333       5
14337       24
14385       17
14406       1
14410       34
14456       17
14457       32
14493       39
14549       14
14559       22
14572       24
14619       27
14630       30
14689       33
14690       13
14731       9
14757       17
14793       27
14840       2
14879       30
14898       29
14915       39
14970       35
15012       23
15014       27
15064       37
15064       29
15116       10
15153       29
